날짜,종목코드,종목명,상장주식수,상장수_변화율,시가총액,시가총액_변화율,액면분할_flag,증자_flag,소각_flag,시총급변_flag
2008-05-13,024890,대원화성,27452700,9.0,54219082500.0,0.031331592689294974,1,0,0,0
2014-10-22,024900,덕양산업,32564980,9.0,138075515200.0,-0.1148225469728601,1,0,0,0
2006-09-29,025000,포리올,4200000,-0.30000000000000004,182490000000.0,-0.16671232876712327,0,0,1,0
2010-05-31,025530,SJM홀딩스,9215876,-0.4828103105531294,33684026780.0,-0.67408132501236,0,0,1,0
2023-09-01,025560,미래산업,30429770,4.979171967826585,144237109800.0,4.535405298339455,1,0,0,1
2024-12-10,025560,미래산업,53662924,0.7217940912568523,42501035808.0,0.8255166268747351,0,1,0,0
2012-01-05,025610,한국저축은행,16000000,0.6000000000000001,60960000000.0,0.6042105263157895,0,1,0,0
2006-03-06,025620,신우,29417967,8.279202488587874,57070855980.0,7.572215632314512,1,0,0,1
2014-12-26,025620,신우,61291605,5.101591070905222,184181273025.0,22.567199444820297,1,0,0,1
2016-07-28,025620,제이준,46371350,0.9425520671113978,323672023000.0,0.9070342374736367,0,1,0,0
2021-08-13,025620,제이준코스메틱,57455720,0.5339638378330467,86758137200.0,0.4706573937320002,0,1,0,0
2025-06-30,025620,제이준코스메틱,8030748,0.6768254449489763,58463845440.0,0.6496336809768308,0,1,0,0
2007-04-30,025820,이구산업,22369210,9.0,71022241750.0,0.061872909698996725,1,0,0,0
2007-04-16,025830,한국합섬,4495079,-0.4955017957351291,1505851465.0,-0.9404905287222776,0,0,1,0
2006-09-29,025850,화인케미칼,2500000,-0.5,31375000000.0,-0.5351851851851852,0,0,1,0
2015-11-16,025850,한화화인케미칼,7500000,0.9736842105263157,72375000000.0,0.9238437001594897,0,1,0,0
2006-05-02,025890,한국주강,10778540,9.0,26191852200.0,-0.13214285714285712,1,0,0,0
2005-12-12,025930,팬택,112645266,3.498157115630896,716423891760.0,3.401273731601923,1,0,0,1
2008-10-30,026940,부국철강,20000000,1.0,34200000000.0,-0.06429548563611487,0,1,0,0
2016-12-13,027410,BGF리테일,49547625,0.999987769417926,4360191000000.0,1.0417508550902261,0,1,0,1
2017-12-07,027410,BGF,32263719,-0.3488341974009854,921129177450.0,-0.7649711294032634,0,0,1,0
2018-03-23,027410,BGF,95369179,1.9559264076159355,1292252375450.0,1.6264132998816998,1,0,0,1
2006-06-01,027740,마니커,44995150,11.857538830380781,56243937500.0,0.16042769227263376,1,0,0,0
2012-09-21,027740,마니커,72001070,0.5319027843408672,53136789660.0,0.4993955634529972,0,1,0,0
2021-12-22,027740,마니커,63511228,0.5999999798460836,73673024480.0,0.5931330271428814,0,1,0,0
2006-05-04,027970,세림제지,19344675,4.0,201184620000.0,0.14790286975717448,1,0,0,0
2015-04-02,027970,세하,19682220,0.589461315760784,51173772000.0,0.6080153389019605,0,1,0,0
2020-08-13,027970,세하,57562997,0.9471299543818239,77710045950.0,0.8979245042710919,0,1,0,0
2023-08-17,027970,한국제지,190178237,2.3038279261241383,239814756857.0,2.1802496296507927,1,0,0,1
2016-02-25,028050,삼성엔지니어링,196000000,3.9000000000000004,1958040000000.0,3.904909819639278,1,0,0,1
2014-01-23,028670,팬오션,120887541,-0.41276367145094683,784560141090.0,4.001527260214377,0,0,1,1
2015-07-24,028670,팬오션,182401146,-0.20195817407689864,782500916340.0,0.141199811070035,0,0,1,0
2015-07-29,028670,팬오션,522919935,1.8668675963252994,2201492926350.0,1.8668675963252994,1,0,0,1
2010-05-10,030000,제일기획,115041225,24.0,1512792108750.0,-0.0580229226361032,1,0,0,0
2020-07-08,030610,교보증권,64653296,0.7959248888888888,426065220640.0,0.7690799727619997,0,1,0,0
2023-09-19,030610,교보증권,113962961,0.7626782863475359,598305545250.0,0.746049245910295,0,1,0,0
2014-06-02,030790,동양네트웍스,30962739,-0.25587401965688683,61925478000.0,1.7974660915154628,0,0,1,1
2016-01-06,030790,동양네트웍스,52636187,0.6637968096471296,64742510010.0,0.6371760606927757,0,1,0,0
2020-05-14,030790,비케이탑스,10603880,0.7873305417355001,63093086000.0,0.7724361205543708,0,1,0,0
2022-04-08,031430,신세계인터내셔날,35700000,4.0,1120980000000.0,-0.05988023952095811,1,0,0,0
2018-04-06,031820,콤텍시스템,47851466,0.5023316666177939,50244039300.0,0.5095198564102237,0,1,0,0
2021-09-06,031820,콤텍시스템,121051466,0.7840655941022705,125288267310.0,0.8192195959565023,0,1,0,0
2013-07-23,032350,롯데관광개발,24613632,1.237602909090909,199370419200.0,1.237602909090909,1,0,0,1
2010-01-15,032640,LG텔레콤,514793835,0.8565953182871096,4447818734400.0,0.8565953182871096,0,1,0,0
2012-09-12,032640,LG유플러스,436611361,-0.15187142635459105,3348809138870.0,-0.1173478751885636,0,0,1,0
2005-03-21,032710,LG카드,125369403,0.0,3886451493000.0,4.477031802120141,0,0,0,1
2025-06-13,033180,KH 필룩스,26020020,4.0,138166306200.0,0.0,1,0,0,0
2019-05-28,034020,두산중공업,202146875,0.7255848694213993,1208838312500.0,0.6536854998621744,0,1,0,0
2008-03-24,034120,SBS,18252582,-0.2999999961649261,985639428000.0,-0.39999999671279385,0,0,1,0
2024-02-05,034300,신세계건설,7760554,0.9401385,87771865740.0,0.8470510467171717,0,1,0,0
2010-11-26,034310,NICE,3458657,-0.4837825373134328,245564647000.0,0.1766112311636041,0,0,1,0
2013-05-16,034310,NICE,37882300,9.0,333743063000.0,0.06272617611580222,1,0,0,0
2015-05-11,034730,SK C&C,44000000,-0.12,10978000000000.0,-0.09646090534979423,0,0,1,0
2015-08-13,034730,SK,70360297,0.5990976590909092,21002548654500.0,0.5372967833772508,0,1,0,0
2013-08-28,035420,NAVER,32962679,-0.315099698086574,15822085920000.0,0.12010952272042408,0,0,1,0
2018-10-11,035420,NAVER,164813395,4.0,23403502090000.0,0.008522727272727293,1,0,0,0
2022-04-08,035510,신세계 I&C,17200000,9.0,314760000000.0,-0.07341772151898729,1,0,0,0
2024-12-24,035510,신세계 I&C,15268540,-0.11229418604651165,233761347400.0,-0.03199601056781287,0,0,1,0
2021-04-14,035720,카카오,443809305,4.0,53479021252500.0,0.07974910394265233,1,0,0,0
2008-02-22,036530,S&T홀딩스,8927000,-0.20999999999999996,175415550000.0,-0.49517073170731707,0,0,1,0
2008-10-24,036530,S&T홀딩스,15323423,0.7165254844852693,78302691530.0,0.45947507915469665,0,1,0,0
2005-07-07,036580,대상팜스코,30536037,0.8091958893574014,120617346150.0,0.7303447367946092,0,1,0,0
2007-04-09,037270,휘닉스컴,11875000,4.0,47975000000.0,-0.009803921568627416,1,0,0,0
2014-12-15,037270,휘닉스홀딩스,28081138,1.3647274105263159,183089019760.0,1.2344960458886347,1,0,0,1
2015-02-16,037270,YG PLUS,56162276,1.0,244305900600.0,0.012805587892898762,0,1,0,0
2015-11-18,037620,미래에셋증권,87910706,0.9998518606446349,1679094484600.0,1.0051008156594503,0,1,0,1
2022-04-08,037710,광주신세계,8000000,4.0,302800000000.0,-0.04177215189873418,1,0,0,0
2017-12-01,039570,아이콘트롤스,16460000,1.0,268298000000.0,1.0248447204968945,0,1,0,1
2021-12-17,039570,HDC랩스,25957601,0.5770109963547996,332257292800.0,0.5647861049101888,0,1,0,0
2017-01-17,042660,대우조선해양,65576960,2.075868658916319,2937847808000.0,2.075868658916319,1,0,0,1
2023-06-12,042660,한화오션,211729312,0.9734177629184138,5939007201600.0,0.8390155564738042,0,1,0,0
2021-12-27,042670,현대두산인프라코어,197434563,1.3982072202844358,1336631991510.0,1.3771395141033134,1,0,0,1
2006-11-10,042700,한미반도체,24000000,0.6190475547997003,168720000000.0,0.6213538903478479,0,1,0,0
2017-05-10,042700,한미반도체,63582100,1.499999901701898,494668738000.0,0.040106910975441945,1,0,0,0
2022-04-05,042700,한미반도체,98919754,1.0,1666797854900.0,-0.037142857142857144,0,1,0,0
2007-02-27,044380,주연테크,42900000,2.0,94380000000.0,1.6559356136820926,1,0,0,1
2018-01-02,044380,주연테크,98773270,0.5488192780454884,53831432150.0,0.5602708069034956,0,1,0,0
2020-05-06,044380,주연테크,53375996,-0.5,62449915320.0,0.0893854748603351,0,0,1,0
2008-05-13,044450,KSS해운,11592940,9.0,128101987000.0,0.14626556016597503,1,0,0,0
2016-10-20,044450,KSS해운,23185880,1.0,192674662800.0,0.9904191616766467,0,1,0,0
2014-08-26,044820,코스맥스비티아이,9603921,1.0908975323330878,477795069750.0,1.1164222224531253,1,0,0,1
2011-04-29,047400,쌍용머티리얼,42000000,9.0,81060000000.0,0.14880952380952372,1,0,0,0
2023-04-18,049770,동원F&B,19295620,4.0,598164220000.0,-0.007046764894298563,1,0,0,0
2021-05-13,049800,우진플라임,20000000,1.0,99600000000.0,0.8444444444444446,0,1,0,0
2015-01-06,051310,포스코플랜텍,180834946,1.2276185461497757,589521923960.0,1.1775221770459576,1,0,0,1
2008-01-30,051630,진양화학,1200000,-0.5,12240000000.0,-0.6445993031358885,0,0,1,0
2008-05-08,051630,진양화학,6000000,4.0,14880000000.0,0.14814814814814814,1,0,0,0
2009-04-20,051910,LG화학,66271100,-0.11918948169939514,8449565250000.0,0.24781490092585678,0,0,1,0
2009-04-20,051915,LG화학우,7628921,-0.11918947967216287,326899264850.0,0.11008031753081826,0,0,1,0
2014-05-21,053000,우리금융,676278371,-0.16096091793984968,8554921393150.0,-0.08894039587460068,0,0,1,0
2007-04-20,063350,팬택앤큐리텔,166376165,0.0,27452067225.0,1.5384615384615383,0,0,0,1
2025-02-26,064960,SNT모티브,26540272,0.8149507738969262,694028112800.0,0.7676336215048274,0,1,0,0
2006-04-26,067250,STX조선,59748342,1.0,693080767200.0,0.10476190476190483,0,1,0,0
2013-12-04,067250,STX조선해양,35298247,0.7894999903930002,313801415830.0,0.8222972410760336,0,1,0,0
2014-03-20,067250,STX조선해양,696775595,12.751684605829423,3867104552250.0,12.751684605829423,1,0,0,1
2006-04-11,067830,세이브존I&C,41040895,4.0,87827515300.0,0.148068669527897,1,0,0,0
2024-01-11,068270,셀트리온,220290520,0.5046881968148553,43375203388000.0,0.4452346631846098,0,1,0,0
