종목명,임계값
삼성생명,0.005949200130999088
우리들생명과학,0.03915652632713318
만도,0.01601189747452736
SK디스커버리,0.014738600701093674
삼성화재우,0.027286825701594353
코리아오토글라스,0.01580003648996353
이연제약,0.012667003087699413
세아특수강,0.007195189129561186
동방아그로,0.01145633589476347
웰스브릿지(1우B),0.13831040263175964
우진,0.010359115898609161
태경비케이,0.013853534124791622
현대차2우B,0.006503937765955925
LG디스플레이,0.008977651596069336
한솔LCD,0.01244191825389862
맵스베트남1,0.009776484221220016
코리아06호,0.09242191910743713
SBS미디어홀딩스,0.007625217083841562
현대씨앤에프,0.010761615820229053
동원시스템즈,0.008070769719779491
삼영화학,0.006209251005202532
벽산건설,0.01747983507812023
우리스팩1호,0.06045716255903244
대현,0.010226482525467873
팜젠사이언스,0.017483415082097054
동아제약,0.024713706225156784
SK이노베이션우,0.011383462697267532
콤텍시스템,0.011798650026321411
E1,0.00630806852132082
한화화인케미칼,0.038188863545656204
