종목명,임계값
호텔신라,0.006453625857830048
종근당바이오,0.011640151031315327
하이골드8호,0.07203357666730881
IHQ,0.007823471911251545
대유신소재,0.021137896925210953
맥슨텔레콤(2우B),0.1413794308900833
이건산업,0.006866541691124439
CJ씨푸드1우,0.010010945610702038
지엠비코리아,0.00947906356304884
금비,0.008575813844799995
한화증권(1우),0.02739718370139599
현대차(3우B),0.009992072358727455
포스코스틸리온,0.024077219888567924
대림수산(1우B),0.055006612092256546
다스코,0.01189279556274414
경농(1우),0.1778751015663147
신세계I&C,0.022851308807730675
아이에스동서,0.006063877604901791
KEC홀딩스,0.017027664929628372
씨아이테크,0.016228431835770607
NI테크,0.04108209162950516
아남전자(1우B),0.05059311166405678
주연테크,0.010894713923335075
기신정기,0.00777667248621583
크라운제과,0.009551119059324265
세아베스틸지주,0.02129429019987583
동부일렉트로닉스,0.10423547774553299
제이준코스메틱,0.01598827913403511
새한미디어,0.02366342395544052
허메스홀딩스,0.030856024473905563
