종목명,임계값
웅진케미칼,0.023221390321850777
롯데칠성(1우B),0.06378643214702606
에프지엔개발리츠,0.1397818624973297
화승코퍼레이션,0.019986288622021675
LG생명과학,0.013678308576345444
GBS,0.04977645352482796
아남전자우,0.033213675022125244
전방,0.013406367972493172
제일약품,0.011530662886798382
쿠쿠홀딩스,0.015420297160744667
동일방직,0.0085713230073452
현대엘리베이,0.007413933984935284
팜스코,0.007224297616630793
GⅡR,0.010941598564386368
현대시멘트,0.025422081351280212
동양종금증권1우,0.02318703942000866
씨앤피로엔,0.13951057195663452
세우글로벌(1우),0.06593296676874161
화인베스틸,0.009242918342351913
동북아11호,0.07549555599689484
동양철관,0.008623557165265083
신한,0.010546504519879818
로케트전우,0.024133674800395966
동부증권,0.010237828828394413
신세계인터내셔날,0.0059616221114993095
솔루스첨단소재,0.015305616892874241
LX홀딩스,0.007273475639522076
현대로템,0.008630986325442791
세방(1우B),0.053631268441677094
환인제약,0.007118158973753452
