종목명,임계값
쌍용양회(3우B),0.05456869676709175
우성넥스티어,0.03322963789105415
지엔비씨더스,0.09818851202726364
코오롱(1우),0.022126879543066025
코오롱글로벌우,0.014949553646147251
코오롱유화,0.030506625771522522
하나니켈2호,0.049714960157871246
하나증권(1우),0.028183050453662872
한국수출포장,0.012651990167796612
한화타임월드,0.007445557974278927
현대오토넷,0.01726715639233589
화풍집단 KDR,0.02259320206940174
C&중공업,0.022989952936768532
CJ(1우B),0.022697607055306435
KB손해보험,0.04094085097312927
SNT중공업,0.026198044419288635
광희리츠,0.023671386763453484
넥센타이어1우B,0.010034512728452682
대덕GDS우,0.0148010840639472
대한방직,0.010065324604511261
동부하이텍,0.010623986832797527
동양기전,0.013483615592122078
디피아이홀딩스우,0.03482859581708908
보락,0.013156544417142868
메리츠종금,0.027323197573423386
서광건설,0.02791544236242771
세원정공,0.004340025596320629
신성건설,0.019289566203951836
삼성전자,0.0067131700925529
카카오,0.015810338780283928
