종목명,임계값
동아에스티,0.008211825974285603
유유,0.018549226224422455
한국유리우,0.018227284774184227
LG화학(1우),0.020008275285363197
화천기계,0.008837547153234482
신한지주,0.006513429339975119
한화증권(1우B),0.033456698060035706
롯데손해보험,0.009782620705664158
부국증권(1우B),0.02459544502198696
흥국화재우,0.012894989922642708
롯데렌탈,0.016972027719020844
웅진홀딩스,0.01775205507874489
제이준,0.045819129794836044
신세계건설,0.006837368942797184
극동유화,0.012571954168379307
현대모비스(1우B),0.04259346425533295
HD한국조선해양,0.015363574028015137
금호타이어,0.008446034044027328
코오롱인더우,0.005865997169166803
우리들휴브레인,0.013478260487318039
폴루스바이오팜,0.01553470827639103
동양고속,0.00467835646122694
현대금속(1우B),0.06284172087907791
금강고려,0.09619688987731934
삼성전기,0.0068558575585484505
코오롱인터,0.03598060831427574
동부제철,0.019439416006207466
C&진도(1우B),0.046362075954675674
리바트,0.01175851933658123
두산인프라코어,0.009927472099661827
