종목명,임계값
동양종금증권(1우),0.022089336067438126
삼성물산우,0.00882103480398655
아시아6호,0.08628503978252411
현대차IB증권,0.2937394976615906
한화3우B,0.007775475271046162
삼환까뮤,0.011990808881819248
이노츠,0.05302925035357475
디피아이홀딩스2B,0.03236575797200203
와이투솔루션,0.03834244981408119
한국단자,0.02248804084956646
흥국화재2우B,0.010800369083881378
내쇼날푸라스,0.01784253679215908
삼성물산(1우),0.02773790806531906
비유와상징,0.03521781787276268
부국증권우,0.006531704682856798
미래아이앤지,0.024991145357489586
SNT에너지,0.04287462681531906
동양철관우,0.02426348812878132
삼성전기우,0.005801605060696602
KCC,0.1611281782388687
녹십자홀딩스1우,0.021883908659219742
대상홀딩스(1우B),0.0735417827963829
동원산업,0.008990943431854248
경보제약,0.0065959906205534935
마니커,0.017303796485066414
LG우,0.02104714699089527
신성솔라에너지,0.010153071954846382
대한가스,0.007801560219377279
세이브존I&C,0.004649548791348934
티에이치엔,0.007190667558461428
