종목명,임계값
대상(3우B),0.04891166836023331
금호석유(1우B),0.017108600586652756
HDC현대산업개발,0.01132170483469963
LG텔레콤,0.025998331606388092
한올제약,0.019968181848526
수산세보틱스,0.0919688418507576
쌍방울트라이,0.03895488381385803
지에스인스트루,0.01834280788898468
대림산업,0.009751938283443451
남선알미늄(1우),0.05404140055179596
영풍제지,0.017877353355288506
대한제당(1우),0.07253327965736389
한성기업,0.010573851875960827
KG모빌리티,0.04081694781780243
용평리조트,0.010687279514968395
HS화성,0.025496551766991615
삼성화재,0.005288483574986458
신일건업,0.01344852615147829
케이씨,0.011848201975226402
쌍용머티리얼,0.01234696339815855
한솔아트원제지우,0.047638893127441406
코오롱플라스틱,0.012389890849590302
중외제약2우B,0.02710873633623123
흥국쌍용화재우,0.03916655108332634
솔루스첨단소재1우,0.014589963480830193
한화갤러리아,0.01830814778804779
SNT홀딩스,0.010406805202364922
대신증권(1우B),0.02638290822505951
LG생명과학(1우B),0.03415951505303383
