종목명,임계값
조광피혁,0.009848883375525475
코오롱건설(1우B),0.017694052308797836
고려제강,0.007413787767291069
DL,0.01466259453445673
동국실업,0.02049948275089264
유화증권우,0.05301368236541748
동양물산,0.011229794472455978
성문전자(1우B),0.05659934878349304
AP우주통신(1우B),0.04476670175790787
신화실업,0.012064327485859394
한국유전15-1,0.010293187573552132
HD현대에너지솔루션,0.023110592737793922
한국프랜지,0.00885937362909317
중외홀딩스,0.026074443012475967
하이골드12호,0.037172071635723114
코오롱모빌리티그룹,0.017720628529787064
광전자,0.007381121162325144
고려포리머우,0.02677159756422043
세원E&T,0.04384807497262955
디피아이홀딩스,0.011910597793757915
KCC글라스,0.012355735525488853
동부정밀,0.01588929072022438
진양폴리,0.007953906431794167
더본코리아,0.022133678197860718
DB하이텍1우,0.016718212515115738
HDC랩스,0.0237696785479784
웅진닷컴,0.15995845198631287
한신공영우,0.02079235203564167
노루홀딩스,0.008841083385050297
한라,0.012396983802318573
