종목명,임계값
삼양제넥스(1우B),0.06805159151554108
오라바이오틱스,0.058048393577337265
종근당,0.006978505291044712
현대푸드,0.1028965413570404
화승엔터프라이즈,0.013062604703009129
수출포장,0.00802716612815857
동부하이텍1우,0.014593653380870819
동양생명보험,0.031393975019454956
한화리츠,0.02281380072236061
동국씨엠,0.008950544521212578
거북선4호,0.08482584357261658
LX홀딩스1우,0.005600042641162872
일정실업,0.013225680217146873
두산에너빌리티,0.015135976485908031
진흥기업,0.014950982294976711
HD현대마린엔진,0.02387256920337677
베스텍,0.034373339265584946
화승알앤에이,0.01693798415362835
제일모직,0.009682109579443932
신풍제지,0.01222304068505764
CJ우,0.005857890471816063
이엔페이퍼,0.025008339434862137
NICE,0.017372792586684227
풍림산업,0.007833444513380527
SK디스커버리우,0.017953122034668922
코라오홀딩스,0.008617786690592766
삼호,0.012316844426095486
옵티머스,0.06984661519527435
남성,0.01671055145561695
태양금속(1우B),0.04321290925145149
